
Information about map: EDT                 
==================================

Map name (internal)     : EDT000
Sounding set (internal) : 0
RS-Number               : H2813641
Data record length      : 40 bytes
Number of data records  : 2541
Max filemap size        : 2541 bytes
Data header size        : 12504 bytes
Free space in map       : -111603 bytes (107371392 records)
Status flag (not used)  : 1


   Record name:    Unit:           Data type:          Divisor: Offset:
   ---------------------------------------------------------------------
    time            sec             float (4)          1        0       
    Pscl            ln              short (2)          1        0       
    T               K               short (2)          10       0       
    RH              %               short (2)          1        0       
    v               m/s             short (2)          -100     0       
    u               m/s             short (2)          -100     0       
    Height          m               short (2)          1        30000   
    P               hPa             short (2)          10       0       
    TD              K               short (2)          10       0       
    MR              g/kg            short (2)          100      0       
    DD              dgr             short (2)          1        0       
    FF              m/s             short (2)          10       0       
    AZ              dgr             short (2)          1        0       
    Range           m               short (2)          0.01     0       
    Lon             dgr             short (2)          100      0       
    Lat             dgr             short (2)          100      0       
    SpuKey          bitfield        unsigned short (2) 1        0       
    UsrKey          bitfield        unsigned short (2) 1        0       
    RadarH          m               short (2)          1        30000   

*************************************************************************************************

    88.00	 28047.00	   292.80	    32.00	     9.50	     1.70	   656.00	   941.50	   275.60	     4.83	   190.00	     9.60	     7.00	   800.00	   -89.41	    43.08	     0.00	     0.00	-32768.00	
    90.00	 28043.00	   292.90	    31.00	     9.38	     1.57	   664.00	   940.60	   275.50	     4.81	   189.00	     9.50	     7.00	   800.00	   -89.41	    43.08	     0.00	     0.00	-32768.00	
    92.00	 28039.00	   292.90	    31.00	     9.27	     1.43	   673.00	   939.60	   275.40	     4.77	   189.00	     9.40	     7.00	   900.00	   -89.41	    43.08	     0.00	     0.00	-32768.00	
    94.00	 28035.00	   293.00	    31.00	     9.15	     1.30	   682.00	   938.60	   275.30	     4.76	   188.00	     9.20	     7.00	   900.00	   -89.41	    43.08	 32768.00	 32768.00	-32768.00	
    96.00	 28031.00	   293.00	    30.00	     9.05	     1.16	   691.00	   937.70	   274.90	     4.63	   187.00	     9.10	     7.00	   900.00	   -89.41	    43.08	     0.00	     0.00	-32768.00	
    98.00	 28027.00	   293.00	    29.00	     8.96	     1.01	   698.00	   936.90	   274.70	     4.55	   186.00	     9.00	     7.00	   900.00	   -89.41	    43.08	     0.00	     0.00	-32768.00	
   100.00	 28024.00	   293.00	    29.00	     8.87	     0.87	   706.00	   936.10	   274.70	     4.56	   186.00	     8.90	     7.00	   900.00	   -89.41	    43.08	     0.00	     0.00	-32768.00	
   102.00	 28021.00	   292.90	    30.00	     8.79	     0.72	   712.00	   935.40	   274.70	     4.57	   185.00	     8.80	     7.00	   900.00	   -89.41	    43.08	     0.00	     0.00	-32768.00	
   104.00	 28017.00	   292.90	    30.00	     8.73	     0.57	   720.00	   934.60	   274.70	     4.57	   184.00	     8.70	     7.00	  1000.00	   -89.41	    43.08	     0.00	     0.00	-32768.00	
   106.00	 28012.00	   292.80	    30.00	     8.67	     0.43	   729.00	   933.50	   274.70	     4.58	   183.00	     8.70	     7.00	  1000.00	   -89.41	    43.08	     0.00	     0.00	-32768.00	
